ghi,ebh,dni,dhi,air_temp,cloud_opacity
0,0,0,0,24,41
0,0,0,0,24,42
0,0,0,0,24,43
0,0,0,0,24,44
0,0,0,0,24,44
0,0,0,0,24,45
0,0,0,0,24,46
0,0,0,0,24,46
0,0,0,0,24,46
0,0,0,0,24,46
0,0,0,0,24,45
0,0,0,0,24,45
0,0,0,0,24,45
0,0,0,0,24,44
0,0,0,0,24,42
0,0,0,0,24,41
0,0,0,0,24,40
0,0,0,0,24,38
0,0,0,0,24,37
0,0,0,0,24,38
0,0,0,0,24,38
0,0,0,0,24,38
0,0,0,0,24,39
0,0,0,0,24,40
0,0,0,0,24,40
0,0,0,0,24,40
0,0,0,0,24,39
0,0,0,0,24,39
0,0,0,0,24,39
0,0,0,0,24,38
0,0,0,0,24,38
0,0,0,0,24,38
0,0,0,0,24,37
0,0,0,0,24,36
0,0,0,0,23,36
0,0,0,0,23,36
0,0,0,0,23,35
0,0,0,0,23,35
0,0,0,0,23,35
0,0,0,0,23,34
0,0,0,0,23,34
0,0,0,0,23,34
0,0,0,0,23,34
0,0,0,0,23,34
0,0,0,0,23,35
0,0,0,0,23,36
0,0,0,0,23,36
0,0,0,0,23,36
0,0,0,0,23,37
0,0,0,0,23,38
0,0,0,0,23,38
0,0,0,0,23,39
0,0,0,0,23,40
0,0,0,0,23,40
0,0,0,0,23,41
0,0,0,0,23,42
0,0,0,0,23,42
0,0,0,0,23,42
0,0,0,0,23,43
0,0,0,0,23,44
0,0,0,0,23,44
0,0,0,0,23,44
0,0,0,0,23,44
0,0,0,0,23,44
0,0,0,0,23,45
0,0,0,0,23,45
0,0,0,0,23,45
1,0,0,1,23,44
1,0,0,1,23,44
2,0,0,2,22,44
3,0,0,3,22,43
3,0,0,3,22,42
4,0,0,4,22,42
10,0,4,9,22,41
16,1,8,14,22,39
22,2,12,20,22,38
27,2,15,25,22,37
33,2,19,30,22,35
14,3,23,14,22,74
17,3,20,16,22,74
19,2,16,19,22,75
22,2,13,22,22,76
25,2,10,24,22,76
27,1,6,26,22,76
30,1,3,29,22,77
32,1,3,32,22,77
35,1,3,34,22,77
38,1,2,37,22,78
40,1,2,40,22,78
42,1,2,42,22,78
45,1,2,45,22,78
49,1,2,49,22,78
53,1,2,53,22,77
57,1,2,56,22,77
61,1,3,60,22,77
65,1,3,64,22,76
95,2,6,93,22,67
100,2,6,98,22,67
106,2,6,104,23,67
112,2,6,109,23,66
117,3,7,114,23,66
122,3,7,120,24,66
133,4,8,130,24,65
141,4,9,138,24,64
150,5,9,146,24,63
158,5,10,154,24,62
166,5,11,161,24,62
175,6,11,169,24,61
165,5,9,160,24,64
175,6,10,169,24,63
184,6,11,178,24,62
194,6,12,188,24,62
204,7,12,197,25,61
213,8,13,206,25,60
326,45,77,282,25,39
342,54,89,289,25,38
358,62,101,296,25,36
374,71,112,303,25,35
389,80,124,310,25,34
405,88,136,317,25,32
421,97,148,324,25,31
434,106,158,328,25,30
447,114,169,333,25,29
460,123,180,337,26,28
472,132,190,341,26,28
485,140,200,346,26,27
498,149,211,350,26,26
505,152,212,354,26,26
512,154,213,358,26,26
519,157,214,362,26,26
526,160,216,367,26,26
533,162,217,371,26,26
445,64,84,381,26,39
456,70,91,386,26,38
467,76,98,391,26,37
478,82,104,396,26,36
489,88,111,401,27,36
500,94,118,406,27,35
588,201,254,387,27,24
603,224,280,379,27,23
618,247,306,371,27,21
634,270,332,364,27,20
649,293,359,356,27,19
664,316,385,348,27,17
662,304,370,358,27,18
648,277,337,370,27,20
634,251,304,383,27,22
620,224,271,396,27,24
605,197,238,408,27,27
591,171,205,420,27,29
576,183,218,393,27,31
559,166,197,394,27,33
542,148,176,394,27,35
525,130,155,394,27,38
508,113,134,395,27,40
491,96,113,396,27,42
427,41,48,387,27,49
426,40,47,386,27,49
424,39,46,386,27,49
422,38,44,385,27,50
421,37,43,384,27,50
420,36,42,384,27,50
480,55,65,425,27,43
481,56,67,424,27,43
481,57,68,424,27,42
482,58,70,424,27,42
483,60,72,423,27,42
483,61,73,422,27,41
